Month,Day,Year,Hour,Minute,Outdoor Temperature (°F),Hourly Rain (in/hr),Solar Radiation (W/m^2)
3,2,2023,12,10,79.2,0,1197
3,2,2023,12,5,79.7,0,1221.9
3,2,2023,12,0,78.4,0,1141.4
3,2,2023,11,55,77.7,0,582.8
3,2,2023,11,50,79.3,0,771.7
3,2,2023,11,45,76.5,0,379.9
3,2,2023,11,40,76.6,0,1216.9
3,2,2023,11,35,75.4,0,361.9
3,2,2023,11,30,74.7,0,399.1
3,2,2023,11,25,74.3,0,353.9
3,2,2023,11,20,74.7,0,338.2
3,2,2023,11,15,74.8,0,298.8
3,2,2023,11,10,75.2,0,321.4
3,2,2023,11,5,74.7,0,709.2
3,2,2023,11,0,74.8,0,1076.6
3,2,2023,10,55,0,0,324.8
3,2,2023,10,50,74.8,0,289.3
3,2,2023,10,45,74.7,0,512.5
3,2,2023,10,40,75.9,0,1058.9
3,2,2023,10,35,74.3,0,950.4
3,2,2023,10,30,73.6,0,336.5
3,2,2023,10,25,73.8,0,326
3,2,2023,10,20,73,0,987.6
3,2,2023,10,15,73.2,0,920
3,2,2023,10,10,74.5,0,244.5
3,2,2023,10,5,72.7,0,879.6
3,2,2023,10,0,73.2,0,286.8
3,2,2023,9,55,73.2,0,841.8
3,2,2023,9,50,73.4,0,781.1
3,2,2023,9,45,72.7,0,705
3,2,2023,9,40,71.4,0,533.4
3,2,2023,9,35,71.4,0,633.8
3,2,2023,9,30,70.5,0,574.9
3,2,2023,9,25,70.3,0,494.8
3,2,2023,9,20,69.8,0,434.6
3,2,2023,9,15,70.7,0,436
3,2,2023,9,10,69.4,0,427.1
3,2,2023,9,5,68.5,0,428.8
3,2,2023,9,0,68.5,0,417.6
3,2,2023,8,55,68.7,0,370.7
3,2,2023,8,50,66.6,0,318.5
3,2,2023,8,45,65.7,0,274.2
3,2,2023,8,40,65.7,0,237.9
3,2,2023,8,35,66.4,0,213
3,2,2023,8,30,67.6,0,194.7
3,2,2023,8,25,68,0,175.2
3,2,2023,8,20,68.2,0,158
3,2,2023,8,15,67.6,0,143.6
3,2,2023,8,10,64.9,0,131.8
3,2,2023,8,5,63.3,0,122.7
3,2,2023,8,0,63,0,114.8
3,2,2023,7,55,64.2,0,105.7
3,2,2023,7,50,66,0,92.7
3,2,2023,7,45,64.9,0,85.1
3,2,2023,7,40,63,0,76.6
3,2,2023,7,35,61.5,0,69.9
3,2,2023,7,30,59.9,0,63.5
3,2,2023,7,25,59.5,0,55.9
3,2,2023,7,20,59.2,0,30.5
3,2,2023,7,15,58.8,0,25.9
3,2,2023,7,10,59,0,23.1
3,2,2023,7,5,58.6,0,19.4
3,2,2023,7,0,59,0,15.7
3,2,2023,6,55,59,0,11.9
3,2,2023,6,50,58.8,0,8.1
3,2,2023,6,45,59,0,4.5
3,2,2023,6,40,59,0,2.1
3,2,2023,6,35,59,0,0.8
3,2,2023,6,30,58.6,0,0.2
3,2,2023,6,25,59,0,0
3,2,2023,6,20,59.4,0,0
3,2,2023,6,15,59.4,0,0
3,2,2023,6,10,59.4,0,0
3,2,2023,6,5,59.4,0,0
3,2,2023,6,0,59.4,0,0
3,2,2023,5,55,59.2,0,0
3,2,2023,5,50,59,0,0
3,2,2023,5,45,59.2,0,0
3,2,2023,5,40,59.5,0,0
3,2,2023,5,35,59.7,0,0
3,2,2023,5,30,59.2,0,0
3,2,2023,5,25,59.4,0,0
3,2,2023,5,20,60.1,0,0
3,2,2023,5,15,59.9,0,0
3,2,2023,5,10,59.9,0,0
3,2,2023,5,5,60.1,0,0
3,2,2023,5,0,60.1,0,0
3,2,2023,4,55,60.1,0,0
3,2,2023,4,50,60.1,0,0
3,2,2023,4,45,59.5,0,0
3,2,2023,4,40,59.5,0,0
3,2,2023,4,35,59.5,0,0
3,2,2023,4,30,59.2,0,0
3,2,2023,4,25,59,0,0
3,2,2023,4,20,59,0,0
3,2,2023,4,15,58.8,0,0
3,2,2023,4,10,58.8,0,0
3,2,2023,4,5,58.8,0,0
3,2,2023,4,0,58.6,0,0
3,2,2023,3,55,58.6,0,0
3,2,2023,3,50,58.8,0,0
3,2,2023,3,45,59.2,0,0
3,2,2023,3,40,59.5,0,0
3,2,2023,3,35,59.4,0,0
3,2,2023,3,30,59.4,0,0
3,2,2023,3,25,59,0,0
3,2,2023,3,20,59.2,0,0
3,2,2023,3,15,59,0,0
3,2,2023,3,10,59.4,0,0
3,2,2023,3,5,59.4,0,0
3,2,2023,3,0,59.7,0,0
3,2,2023,2,55,59.5,0,0
3,2,2023,2,50,59.4,0,0
3,2,2023,2,45,59.7,0,0
3,2,2023,2,40,59.9,0,0
3,2,2023,2,35,59.7,0,0
3,2,2023,2,30,59.9,0,0
3,2,2023,2,25,59.9,0,0
3,2,2023,2,20,59.9,0,0
3,2,2023,2,15,59.5,0,0
3,2,2023,2,10,60.3,0,0
3,2,2023,2,5,60.4,0,0
3,2,2023,2,0,60.3,0,0
3,2,2023,1,55,60.1,0,0
3,2,2023,1,50,60.1,0,0
3,2,2023,1,45,60.4,0,0
3,2,2023,1,40,61,0,0
3,2,2023,1,35,60.8,0,0
3,2,2023,1,30,61,0,0
3,2,2023,1,25,61,0,0
3,2,2023,1,20,61,0,0
3,2,2023,1,15,61,0,0
3,2,2023,1,10,61.2,0,0
3,2,2023,1,5,61,0,0
3,2,2023,1,0,60.6,0,0
3,2,2023,0,55,61.2,0,0
3,2,2023,0,50,62.1,0,0
3,2,2023,0,45,61.9,0,0
3,2,2023,0,40,62.1,0,0
3,2,2023,0,35,61.9,0,0
3,2,2023,0,30,62.1,0,0
3,2,2023,0,26,62.4,0,0
3,2,2023,0,20,62.4,0,0
3,2,2023,0,15,62.4,0,0
3,2,2023,0,10,62.4,0,0
3,2,2023,0,5,62.6,0,0
3,2,2023,0,0,62.6,0,0
3,1,2023,23,55,62.6,0,0
3,1,2023,23,50,62.4,0,0
3,1,2023,23,45,62.1,0,0
3,1,2023,23,40,62.2,0,0
